"o","37",,"  | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 |
",,"stdout","1638997684048",
"o","37",,"------------------------------------------
",,"stdout","1638997684048",
"o","37",,"1 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997684048",
"o","37",,"------------------------------------------
",,"stdout","1638997684048",
"o","37",,"2 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997684048",
"o","37",,"------------------------------------------
",,"stdout","1638997684048",
"o","37",,"3 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997684048",
"o","37",,"------------------------------------------
",,"stdout","1638997684048",
"o","37",,"4 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997684048",
"o","37",,"------------------------------------------
",,"stdout","1638997684048",
"o","37",,"5 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997684048",
"o","37",,"------------------------------------------
",,"stdout","1638997684048",
"o","37",,"6 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997684048",
"o","37",,"------------------------------------------
",,"stdout","1638997684048",
"o","37",,"7 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997684048",
"o","37",,"------------------------------------------
",,"stdout","1638997684048",
"o","37",,"8 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997684048",
"o","37",,"Hit Enter to flip card at 3, 3  | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 |
",,"stdout","1638997684048",
"o","37",,"------------------------------------------
",,"stdout","1638997684048",
"o","37",,"1 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997684048",
"o","37",,"------------------------------------------
",,"stdout","1638997684048",
"o","37",,"2 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997684048",
"o","37",,"------------------------------------------
",,"stdout","1638997684048",
"o","37",,"3 |   |   | [ |   |   |   |   |   | 
",,"stdout","1638997684048",
"o","37",,"------------------------------------------
",,"stdout","1638997684048",
"o","37",,"4 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997684048",
"o","37",,"------------------------------------------
",,"stdout","1638997684048",
"o","37",,"5 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997684048",
"o","37",,"------------------------------------------
",,"stdout","1638997684048",
"o","37",,"6 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997684048",
"o","37",,"------------------------------------------
",,"stdout","1638997684048",
"o","37",,"7 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997684048",
"o","37",,"------------------------------------------
",,"stdout","1638997684048",
"o","37",,"8 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997684048",
"o","37",,"Hit Enter to try to flip a card that is already flipped when we don't want that to happen",,"stdout","1638997684048",
"o","37",,"This better not have happened. If it did, hit Enter.  | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 |
",,"stdout","1638997727385",
"o","37",,"------------------------------------------
",,"stdout","1638997727385",
"o","37",,"1 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997727385",
"o","37",,"------------------------------------------
",,"stdout","1638997727385",
"o","37",,"2 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997727385",
"o","37",,"------------------------------------------
",,"stdout","1638997727385",
"o","37",,"3 |   |   | c |   |   |   |   |   | 
",,"stdout","1638997727385",
"o","37",,"------------------------------------------
",,"stdout","1638997727385",
"o","37",,"4 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997727385",
"o","37",,"------------------------------------------
",,"stdout","1638997727385",
"o","37",,"5 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997727385",
"o","37",,"------------------------------------------
",,"stdout","1638997727385",
"o","37",,"6 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997727385",
"o","37",,"------------------------------------------
",,"stdout","1638997727385",
"o","37",,"7 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997727385",
"o","37",,"------------------------------------------
",,"stdout","1638997727385",
"o","37",,"8 |   |   |   |   |   |   |   |   | 
",,"stdout","1638997727385",
"o","37",,"Hit Enter to flip card at 4, 3",,"stdout","1638997727385",
"o","37",,"
Process finished with exit code -1
",,"system","1639009329907",
"r","38","""C:\Users\Harrison Wynn\AppData\Local\Programs\Python\Python39\python.exe"" ""C:/Users/Harrison Wynn/Documents/CS 1400 Homework/Wynn-Harrison-Assn13/modules/memory_test.py""",,"PythonRunner",,"1639009332566","memory_test.py"
"o","38",,"Now hit Enter to display the card",,"stdout","1639009335082",
"o","38",," 
",,"stdout","1639009364041",
"o","38",,"Nothing displayed. Now hit Enter to flip the card",,"stdout","1639009364041",
"o","38",,"Now hit Enter to display the card",,"stdout","1639009367553",
"o","38",,"=
",,"stdout","1639009368851",
"o","38",,"The first card's symbol is a &
",,"stdout","1639009368851",
"o","38",,"Hit Enter to create, flip, and display a card with an ID of 50",,"stdout","1639009368851",
"o","38",,"|
",,"stdout","1639009862690",
"o","38",,"The second card's symbol is a :
",,"stdout","1639009862690",
"o","38",,"Hit Enter to create, flip, and display a card with an ID of 51",,"stdout","1639009862690",
"o","38",,"-
",,"stdout","1639009865755",
"o","38",,"Card 2 and 3 match event though they have different ID values
",,"stdout","1639009865755",
"o","38",,"Hit Enter to test the game board",,"stdout","1639009865755",
"o","38",,"
",,"stdout","1639009867859",
"o","38",,"Testing the Board
",,"stdout","1639009867859",
"o","38",,"  | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 |
",,"stdout","1639009867859",
"o","38",,"------------------------------------------
",,"stdout","1639009867859",
"o","38",,"1 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009867859",
"o","38",,"------------------------------------------
",,"stdout","1639009867859",
"o","38",,"2 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009867859",
"o","38",,"------------------------------------------
",,"stdout","1639009867859",
"o","38",,"3 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009867859",
"o","38",,"------------------------------------------
",,"stdout","1639009867859",
"o","38",,"4 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009867859",
"o","38",,"------------------------------------------
",,"stdout","1639009867859",
"o","38",,"5 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009867859",
"o","38",,"------------------------------------------
",,"stdout","1639009867859",
"o","38",,"6 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009867859",
"o","38",,"------------------------------------------
",,"stdout","1639009867859",
"o","38",,"7 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009867859",
"o","38",,"------------------------------------------
",,"stdout","1639009867859",
"o","38",,"8 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009867859",
"o","38",,"Hit Enter to flip card at 7, 5",,"stdout","1639009867859",
"o","38",,"  | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 |
",,"stdout","1639009870489",
"o","38",,"------------------------------------------
",,"stdout","1639009870489",
"o","38",,"1 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009870489",
"o","38",,"------------------------------------------
",,"stdout","1639009870489",
"o","38",,"2 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009870489",
"o","38",,"------------------------------------------
",,"stdout","1639009870489",
"o","38",,"3 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009870489",
"o","38",,"------------------------------------------
",,"stdout","1639009870489",
"o","38",,"4 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009870489",
"o","38",,"------------------------------------------
",,"stdout","1639009870489",
"o","38",,"5 |   |   |   |   |   |   |   |   | 
",,"stdout","1639009870489",
"o","38",,"------------------------------------------
",,"stdout","1639009870489",
